Time,Voltage,Time,,,,,,,,
17:50:36.479,2.35,36.479,,,,,,,,
17:50:36.550,2.34,36.55,,,,,,,,
17:50:36.584,2.34,36.584,,,,,,,,
17:50:36.651,2.34,36.651,,,,,,,,
17:50:36.684,2.35,36.684,,,,,,,,
17:50:36.755,2.37,36.755,,,,,,,,
17:50:36.792,2.38,36.792,,,,,,,,
17:50:36.828,2.39,36.828,,,,,,,,
17:50:36.896,2.39,36.896,,,,,,,,
17:50:36.934,2.4,36.934,,,,,,,,
17:50:36.973,2.4,36.973,,,,,,,,
17:50:37.039,2.4,37.039,,,,,,,,
17:50:37.073,2.39,37.073,,,,,,,,
17:50:37.143,2.36,37.143,,,,,,,,
17:50:37.176,2.33,37.176,,,,,,,,
17:50:37.245,2.31,37.245,,,,,,,,
17:50:37.282,2.3,37.282,,,,,,,,
17:50:37.351,2.29,37.351,,,,,,,,
17:50:37.385,2.29,37.385,,,,,,,,
17:50:37.451,2.28,37.451,,,,,,,,
17:50:37.485,2.28,37.485,,,,,,,,
17:50:37.560,2.3,37.56,,,,,,,,
17:50:37.596,2.31,37.596,,,,,,,,
17:50:37.629,2.32,37.629,,,,,,,,
17:50:37.697,2.32,37.697,,,,,,,,
17:50:37.732,2.33,37.732,,,,,,,,
17:50:37.801,2.33,37.801,,,,,,,,
17:50:37.835,2.33,37.835,,,,,,,,
17:50:37.901,2.33,37.901,,,,,,,,
17:50:37.940,2.33,37.94,,,,,,,,
17:50:37.974,2.34,37.974,,,,,,,,
17:50:38.040,2.34,38.04,,,,,,,,
17:50:38.079,2.35,38.079,,,,,,,,
17:50:38.150,2.35,38.15,,,,,,,,
17:50:38.186,2.36,38.186,,,,,,,,
17:50:38.257,2.36,38.257,,,,,,,,
17:50:38.291,2.37,38.291,,,,,,,,
17:50:38.326,2.37,38.326,,,,,,,,
17:50:38.394,2.37,38.394,,,,,,,,
17:50:38.427,2.36,38.427,,,,,,,,
17:50:38.502,2.36,38.502,,,,,,,,
17:50:38.539,2.36,38.539,,,,,,,,
17:50:38.572,2.36,38.572,,,,,,,,
17:50:38.645,2.36,38.645,,,,,,,,
17:50:38.679,2.35,38.679,,,,,,,,
17:50:38.753,2.36,38.753,,,,,,,,
17:50:38.788,2.36,38.788,,,,,,,,
17:50:38.822,2.36,38.822,,,,,,,,
17:50:38.894,2.36,38.894,,,,,,,,
17:50:38.930,2.36,38.93,,,,,,,,
17:50:39.000,2.36,39,,,,,,,,
17:50:39.035,2.36,39.035,,,,,,,,
17:50:39.073,2.35,39.073,,,,,,,,
17:50:39.141,2.34,39.141,,,,,,,,
17:50:39.179,2.33,39.179,,,,,,,,
17:50:39.251,2.33,39.251,,,,,,,,
17:50:39.286,2.32,39.286,,,,,,,,
17:50:39.357,2.32,39.357,,,,,,,,
17:50:39.391,2.32,39.391,,,,,,,,
17:50:39.429,2.32,39.429,,,,,,,,
17:50:39.499,2.32,39.499,,,,,,,,
17:50:39.532,2.35,39.532,,,,,,,,
17:50:39.605,2.35,39.605,,,,,,,,
17:50:39.639,2.36,39.639,,,,,,,,
17:50:39.676,2.37,39.676,,,,,,,,
17:50:39.748,2.37,39.748,,,,,,,,
17:50:39.782,2.37,39.782,,,,,,,,
17:50:39.849,2.37,39.849,,,,,,,,
17:50:39.884,2.36,39.884,,,,,,,,
17:50:39.954,2.34,39.954,,,,,,,,
17:50:39.991,2.32,39.991,,,,,,,,
17:50:40.025,2.31,40.025,,,,,,,,
17:50:40.094,2.3,40.094,,,,,,,,
17:50:40.128,2.3,40.128,,,,,,,,
17:50:40.203,2.3,40.203,,,,,,,,
17:50:40.238,2.3,40.238,,,,,,,,
17:50:40.313,2.31,40.313,,,,,,,,
17:50:40.347,2.34,40.347,,,,,,,,
17:50:40.381,2.37,40.381,,,,,,,,
17:50:40.448,2.38,40.448,,,,,,,,
17:50:40.482,2.39,40.482,,,,,,,,
17:50:40.549,2.4,40.549,,,,,,,,
17:50:40.583,2.4,40.583,,,,,,,,
17:50:40.652,2.4,40.652,,,,,,,,
17:50:40.686,2.39,40.686,,,,,,,,
17:50:40.755,2.37,40.755,,,,,,,,
17:50:40.789,2.35,40.789,,,,,,,,
17:50:40.857,2.34,40.857,,,,,,,,
17:50:40.890,2.33,40.89,,,,,,,,
17:50:40.925,2.32,40.925,,,,,,,,
17:50:40.992,2.32,40.992,,,,,,,,
17:50:41.028,2.31,41.028,,,,,,,,
17:50:41.098,2.31,41.098,,,,,,,,
17:50:41.136,2.32,41.136,,,,,,,,
17:50:41.208,2.33,41.208,,,,,,,,
17:50:41.242,2.33,41.242,,,,,,,,
17:50:41.277,2.33,41.277,,,,,,,,
17:50:41.347,2.33,41.347,,,,,,,,
17:50:41.381,2.33,41.381,,,,,,,,
17:50:41.452,2.32,41.452,,,,,,,,
17:50:41.485,2.33,41.485,,,,,,,,
17:50:41.554,2.34,41.554,,,,,,,,
17:50:41.591,2.34,41.591,,,,,,,,
17:50:41.625,2.34,41.625,,,,,,,,
17:50:41.696,2.34,41.696,,,,,,,,
17:50:41.731,2.34,41.731,,,,,,,,
17:50:41.801,2.34,41.801,,,,,,,,
17:50:41.834,2.34,41.834,,,,,,,,
17:50:41.901,2.33,41.901,,,,,,,,
17:50:41.935,2.32,41.935,,,,,,,,
17:50:42.002,2.32,42.002,,,,,,,,
17:50:42.035,2.32,42.035,,,,,,,,
17:50:42.104,2.31,42.104,,,,,,,,
17:50:42.142,2.31,42.142,,,,,,,,
17:50:42.208,2.31,42.208,,,,,,,,
17:50:42.244,2.3,42.244,,,,,,,,
17:50:42.278,2.32,42.278,,,,,,,,
17:50:42.348,2.34,42.348,,,,,,,,
17:50:42.384,2.35,42.384,,,,,,,,
17:50:42.452,2.36,42.452,,,,,,,,
17:50:42.485,2.37,42.485,,,,,,,,
17:50:42.557,2.38,42.557,,,,,,,,
17:50:42.596,2.38,42.596,,,,,,,,
17:50:42.630,2.39,42.63,,,,,,,,
17:50:42.702,2.39,42.702,,,,,,,,
17:50:42.735,2.38,42.735,,,,,,,,
17:50:42.802,2.37,42.802,,,,,,,,
17:50:42.835,2.37,42.835,,,,,,,,
17:50:42.902,2.36,42.902,,,,,,,,
17:50:42.935,2.36,42.935,,,,,,,,
17:50:43.003,2.36,43.003,,,,,,,,
17:50:43.038,2.36,43.038,,,,,,,,
17:50:43.110,2.36,43.11,,,,,,,,
17:50:43.148,2.36,43.148,,,,,,,,
17:50:43.183,2.37,43.183,,,,,,,,
17:50:43.253,2.38,43.253,,,,,,,,
17:50:43.289,2.38,43.289,,,,,,,,
17:50:43.360,2.37,43.36,,,,,,,,
17:50:43.393,2.37,43.393,,,,,,,,
17:50:43.431,2.38,43.431,,,,,,,,
17:50:43.504,2.36,43.504,,,,,,,,
17:50:43.540,2.35,43.54,,,,,,,,
17:50:43.611,2.35,43.611,,,,,,,,
17:50:43.645,2.34,43.645,,,,,,,,
17:50:43.683,2.34,43.683,,,,,,,,
17:50:43.751,2.34,43.751,,,,,,,,
17:50:43.785,2.33,43.785,,,,,,,,
17:50:43.855,2.33,43.855,,,,,,,,
17:50:43.889,2.33,43.889,,,,,,,,
17:50:43.963,2.34,43.963,,,,,,,,
17:50:44.000,2.34,44,,,,,,,,
17:50:44.035,2.34,44.035,,,,,,,,
17:50:44.102,2.35,44.102,,,,,,,,
17:50:44.135,2.35,44.135,,,,,,,,
17:50:44.207,2.35,44.207,,,,,,,,
17:50:44.244,2.34,44.244,,,,,,,,
17:50:44.314,2.34,44.314,,,,,,,,
17:50:44.348,2.33,44.348,,,,,,,,
17:50:44.383,2.33,44.383,,,,,,,,
17:50:44.452,2.32,44.452,,,,,,,,
17:50:44.485,2.32,44.485,,,,,,,,
17:50:44.557,2.32,44.557,,,,,,,,
17:50:44.591,2.33,44.591,,,,,,,,
17:50:44.661,2.33,44.661,,,,,,,,
17:50:44.699,2.35,44.699,,,,,,,,
17:50:44.732,2.36,44.732,,,,,,,,
17:50:44.802,2.38,44.802,,,,,,,,
17:50:44.835,2.39,44.835,,,,,,,,
17:50:44.902,2.39,44.902,,,,,,,,
17:50:44.935,2.39,44.935,,,,,,,,
17:50:45.003,2.39,45.003,,,,,,,,
17:50:45.040,2.39,45.04,,,,,,,,
17:50:45.112,2.39,45.112,,,,,,,,
17:50:45.146,2.37,45.146,,,,,,,,
17:50:45.180,2.36,45.18,,,,,,,,
17:50:45.248,2.36,45.248,,,,,,,,
17:50:45.283,2.35,45.283,,,,,,,,
17:50:45.358,2.35,45.358,,,,,,,,
17:50:45.391,2.35,45.391,,,,,,,,
17:50:45.461,2.34,45.461,,,,,,,,
17:50:45.495,2.34,45.495,,,,,,,,
17:50:45.533,2.35,45.533,,,,,,,,
17:50:45.600,2.35,45.6,,,,,,,,
17:50:45.636,2.35,45.636,,,,,,,,
17:50:45.703,2.35,45.703,,,,,,,,
17:50:45.737,2.35,45.737,,,,,,,,
17:50:45.812,2.35,45.812,,,,,,,,
17:50:45.845,2.35,45.845,,,,,,,,
17:50:45.879,2.35,45.879,,,,,,,,
17:50:45.955,2.35,45.955,,,,,,,,
17:50:45.993,2.34,45.993,,,,,,,,
17:50:46.028,2.34,46.028,,,,,,,,
17:50:46.095,2.33,46.095,,,,,,,,
17:50:46.133,2.33,46.133,,,,,,,,
17:50:46.200,2.33,46.2,,,,,,,,
17:50:46.234,2.33,46.234,,,,,,,,
17:50:46.307,2.32,46.307,,,,,,,,
17:50:46.345,2.31,46.345,,,,,,,,
17:50:46.383,2.31,46.383,,,,,,,,
17:50:46.452,2.3,46.452,,,,,,,,
17:50:46.486,2.3,46.486,,,,,,,,
17:50:46.552,2.29,46.552,,,,,,,,
17:50:46.586,2.29,46.586,,,,,,,,
17:50:46.653,2.29,46.653,,,,,,,,
17:50:46.686,2.31,46.686,,,,,,,,
17:50:46.753,2.32,46.753,,,,,,,,
17:50:46.791,2.33,46.791,,,,,,,,
17:50:46.859,2.33,46.859,,,,,,,,
17:50:46.893,2.34,46.893,,,,,,,,
17:50:46.961,2.35,46.961,,,,,,,,
17:50:46.997,2.35,46.997,,,,,,,,
17:50:47.033,2.36,47.033,,,,,,,,
17:50:47.099,2.35,47.099,,,,,,,,
17:50:47.134,2.33,47.134,,,,,,,,
17:50:47.201,2.33,47.201,,,,,,,,
17:50:47.236,2.32,47.236,,,,,,,,
17:50:47.312,2.32,47.312,,,,,,,,
17:50:47.350,2.31,47.35,,,,,,,,
17:50:47.384,2.31,47.384,,,,,,,,
17:50:47.451,2.31,47.451,,,,,,,,
17:50:47.484,2.33,47.484,,,,,,,,
17:50:47.555,2.35,47.555,,,,,,,,
17:50:47.589,2.37,47.589,,,,,,,,
17:50:47.660,2.39,47.66,,,,,,,,
17:50:47.693,2.39,47.693,,,,,,,,
17:50:47.731,2.4,47.731,,,,,,,,
17:50:47.802,2.4,47.802,,,,,,,,
17:50:47.840,2.4,47.84,,,,,,,,
17:50:47.915,2.39,47.915,,,,,,,,
17:50:47.949,2.38,47.949,,,,,,,,
17:50:47.986,2.37,47.986,,,,,,,,
17:50:48.056,2.36,48.056,,,,,,,,
17:50:48.091,2.35,48.091,,,,,,,,
17:50:48.163,2.35,48.163,,,,,,,,
17:50:48.199,2.35,48.199,,,,,,,,
17:50:48.232,2.34,48.232,,,,,,,,
17:50:48.304,2.34,48.304,,,,,,,,
17:50:48.342,2.33,48.342,,,,,,,,
17:50:48.409,2.32,48.409,,,,,,,,
17:50:48.445,2.32,48.445,,,,,,,,
17:50:48.515,2.31,48.515,,,,,,,,
17:50:48.549,2.31,48.549,,,,,,,,
17:50:48.585,2.31,48.585,,,,,,,,
17:50:48.654,2.31,48.654,,,,,,,,
17:50:48.688,2.31,48.688,,,,,,,,
17:50:48.762,2.32,48.762,,,,,,,,
17:50:48.795,2.33,48.795,,,,,,,,
17:50:48.833,2.33,48.833,,,,,,,,
17:50:48.900,2.34,48.9,,,,,,,,
17:50:48.934,2.34,48.934,,,,,,,,
17:50:49.001,2.35,49.001,,,,,,,,
17:50:49.036,2.35,49.036,,,,,,,,
17:50:49.110,2.36,49.11,,,,,,,,
17:50:49.148,2.36,49.148,,,,,,,,
17:50:49.186,2.36,49.186,,,,,,,,
17:50:49.258,2.36,49.258,,,,,,,,
17:50:49.292,2.36,49.292,,,,,,,,
17:50:49.360,2.36,49.36,,,,,,,,
17:50:49.394,2.35,49.394,,,,,,,,
17:50:49.466,2.34,49.466,,,,,,,,
17:50:49.500,2.35,49.5,,,,,,,,
17:50:49.536,2.34,49.536,,,,,,,,
17:50:49.604,2.34,49.604,,,,,,,,
17:50:49.638,2.34,49.638,,,,,,,,
17:50:49.708,2.33,49.708,,,,,,,,
17:50:49.743,2.33,49.743,,,,,,,,
17:50:49.814,2.33,49.814,,,,,,,,
17:50:49.851,2.32,49.851,,,,,,,,
