Time,Voltage,Time
15:17:40.239,2.39,40.239
15:17:40.276,2.38,40.276
15:17:40.312,2.37,40.312
15:17:40.387,2.37,40.387
15:17:40.425,2.37,40.425
15:17:40.463,2.37,40.463
15:17:40.538,2.36,40.538
15:17:40.576,2.36,40.576
15:17:40.648,2.36,40.648
15:17:40.684,2.37,40.684
15:17:40.717,2.38,40.717
15:17:40.785,2.38,40.785
15:17:40.819,2.38,40.819
15:17:40.891,2.39,40.891
15:17:40.924,2.39,40.924
15:17:40.961,2.4,40.961
15:17:41.033,2.4,41.033
15:17:41.069,2.39,41.069
15:17:41.140,2.39,41.14
15:17:41.175,2.39,41.175
15:17:41.210,2.38,41.21
15:17:41.282,2.38,41.282
15:17:41.319,2.38,41.319
15:17:41.392,2.37,41.392
15:17:41.426,2.38,41.426
15:17:41.460,2.39,41.46
15:17:41.526,2.39,41.526
15:17:41.593,2.39,41.593
15:17:41.626,2.4,41.626
15:17:41.660,2.4,41.66
15:17:41.732,2.39,41.732
15:17:41.766,2.39,41.766
15:17:41.837,2.39,41.837
15:17:41.875,2.38,41.875
15:17:41.942,2.37,41.942
15:17:41.976,2.37,41.976
15:17:42.010,2.36,42.01
15:17:42.079,2.36,42.079
15:17:42.116,2.36,42.116
15:17:42.187,2.35,42.187
15:17:42.224,2.36,42.224
15:17:42.294,2.38,42.294
15:17:42.331,2.39,42.331
15:17:42.368,2.39,42.368
15:17:42.439,2.4,42.439
15:17:42.474,2.4,42.474
15:17:42.543,2.4,42.543
15:17:42.576,2.4,42.576
15:17:42.644,2.39,42.644
15:17:42.682,2.37,42.682
15:17:42.716,2.35,42.716
15:17:42.786,2.34,42.786
15:17:42.820,2.34,42.82
15:17:42.892,2.33,42.892
15:17:42.926,2.33,42.926
15:17:42.993,2.33,42.993
15:17:43.027,2.34,43.027
15:17:43.093,2.35,43.093
15:17:43.128,2.36,43.128
15:17:43.166,2.36,43.166
15:17:43.236,2.37,43.236
15:17:43.274,2.37,43.274
15:17:43.312,2.38,43.312
15:17:43.379,2.38,43.379
15:17:43.416,2.38,43.416
15:17:43.488,2.38,43.488
15:17:43.521,2.37,43.521
15:17:43.589,2.37,43.589
15:17:43.622,2.36,43.622
15:17:43.690,2.37,43.69
15:17:43.723,2.37,43.723
15:17:43.791,2.36,43.791
15:17:43.825,2.37,43.825
15:17:43.894,2.39,43.894
15:17:43.927,2.39,43.927
15:17:43.966,2.4,43.966
15:17:44.035,2.4,44.035
15:17:44.069,2.41,44.069
15:17:44.141,2.41,44.141
15:17:44.178,2.41,44.178
15:17:44.215,2.4,44.215
15:17:44.290,2.38,44.29
15:17:44.325,2.36,44.325
15:17:44.395,2.35,44.395
15:17:44.428,2.35,44.428
15:17:44.466,2.34,44.466
15:17:44.540,2.34,44.54
15:17:44.575,2.33,44.575
15:17:44.644,2.34,44.644
15:17:44.678,2.35,44.678
15:17:44.715,2.35,44.715
15:17:44.785,2.35,44.785
15:17:44.820,2.36,44.82
15:17:44.891,2.36,44.891
15:17:44.924,2.36,44.924
15:17:44.994,2.36,44.994
15:17:45.027,2.36,45.027
15:17:45.096,2.37,45.096
15:17:45.132,2.37,45.132
15:17:45.169,2.37,45.169
15:17:45.245,2.37,45.245
15:17:45.283,2.37,45.283
15:17:45.317,2.37,45.317
15:17:45.386,2.38,45.386
15:17:45.419,2.38,45.419
15:17:45.493,2.37,45.493
15:17:45.527,2.37,45.527
15:17:45.595,2.36,45.595
15:17:45.634,2.36,45.634
15:17:45.669,2.37,45.669
15:17:45.743,2.37,45.743
15:17:45.777,2.37,45.777
15:17:45.813,2.39,45.813
15:17:45.886,2.42,45.886
15:17:45.920,2.44,45.92
15:17:45.991,2.45,45.991
15:17:46.025,2.46,46.025
15:17:46.094,2.47,46.094
15:17:46.127,2.47,46.127
15:17:46.193,2.47,46.193
15:17:46.227,2.46,46.227
15:17:46.300,2.45,46.3
15:17:46.335,2.43,46.335
15:17:46.370,2.43,46.37
15:17:46.438,2.41,46.438
15:17:46.472,2.42,46.472
15:17:46.540,2.41,46.54
15:17:46.577,2.41,46.577
15:17:46.644,2.4,46.644
15:17:46.677,2.4,46.677
15:17:46.746,2.4,46.746
15:17:46.784,2.4,46.784
15:17:46.818,2.4,46.818
15:17:46.886,2.4,46.886
15:17:46.924,2.4,46.924
15:17:46.994,2.39,46.994
15:17:47.028,2.39,47.028
15:17:47.095,2.38,47.095
15:17:47.129,2.36,47.129
15:17:47.166,2.36,47.166
15:17:47.235,2.35,47.235
15:17:47.270,2.35,47.27
15:17:47.344,2.34,47.344
15:17:47.377,2.34,47.377
15:17:47.444,2.34,47.444
15:17:47.481,2.35,47.481
15:17:47.519,2.36,47.519
15:17:47.586,2.37,47.586
15:17:47.622,2.38,47.622
15:17:47.694,2.39,47.694
15:17:47.729,2.39,47.729
15:17:47.763,2.39,47.763
15:17:47.836,2.39,47.836
15:17:47.872,2.39,47.872
15:17:47.944,2.39,47.944
15:17:47.979,2.39,47.979
15:17:48.015,2.38,48.015
15:17:48.091,2.38,48.091
15:17:48.128,2.38,48.128
15:17:48.197,2.38,48.197
15:17:48.235,2.38,48.235
15:17:48.270,2.38,48.27
15:17:48.344,2.38,48.344
15:17:48.377,2.38,48.377
15:17:48.415,2.38,48.415
15:17:48.482,2.38,48.482
15:17:48.516,2.38,48.516
15:17:48.590,2.38,48.59
15:17:48.627,2.39,48.627
15:17:48.696,2.39,48.696
15:17:48.731,2.39,48.731
15:17:48.766,2.4,48.766
15:17:48.839,2.4,48.839
15:17:48.877,2.4,48.877
15:17:48.948,2.4,48.948
15:17:48.982,2.4,48.982
15:17:49.015,2.39,49.015
15:17:49.086,2.37,49.086
15:17:49.120,2.37,49.12
15:17:49.189,2.35,49.189
15:17:49.227,2.34,49.227
15:17:49.294,2.34,49.294
15:17:49.327,2.34,49.327
15:17:49.364,2.33,49.364
15:17:49.439,2.34,49.439
15:17:49.473,2.35,49.473
15:17:49.540,2.35,49.54
15:17:49.579,2.36,49.579
15:17:49.615,2.36,49.615
15:17:49.687,2.38,49.687
15:17:49.720,2.38,49.72
15:17:49.795,2.39,49.795
15:17:49.830,2.39,49.83
15:17:49.868,2.4,49.868
15:17:49.941,2.41,49.941
15:17:49.974,2.41,49.974
15:17:50.044,2.41,50.044
15:17:50.082,2.41,50.082
15:17:50.115,2.41,50.115
15:17:50.190,2.41,50.19
15:17:50.224,2.4,50.224
15:17:50.294,2.41,50.294
15:17:50.327,2.4,50.327
15:17:50.394,2.4,50.394
15:17:50.428,2.4,50.428
15:17:50.498,2.4,50.498
15:17:50.531,2.4,50.531
15:17:50.564,2.4,50.564
15:17:50.637,2.4,50.637
15:17:50.674,2.4,50.674
15:17:50.745,2.41,50.745
15:17:50.781,2.41,50.781
15:17:50.816,2.41,50.816
15:17:50.887,2.42,50.887
15:17:50.922,2.41,50.922
15:17:50.990,2.41,50.99
15:17:51.024,2.39,51.024
15:17:51.096,2.37,51.096
15:17:51.130,2.35,51.13
15:17:51.197,2.34,51.197
15:17:51.230,2.33,51.23
15:17:51.298,2.32,51.298
15:17:51.332,2.32,51.332
15:17:51.369,2.32,51.369
15:17:51.440,2.33,51.44
15:17:51.478,2.35,51.478
15:17:51.516,2.37,51.516
15:17:51.584,2.39,51.584
15:17:51.617,2.39,51.617
15:17:51.684,2.4,51.684
15:17:51.721,2.41,51.721
15:17:51.794,2.42,51.794
15:17:51.828,2.41,51.828
15:17:51.899,2.4,51.899
15:17:51.937,2.39,51.937
15:17:51.971,2.39,51.971
15:17:52.039,2.38,52.039
15:17:52.077,2.38,52.077
15:17:52.144,2.38,52.144
15:17:52.178,2.38,52.178
15:17:52.215,2.38,52.215
15:17:52.284,2.38,52.284
15:17:52.320,2.37,52.32
15:17:52.390,2.38,52.39
15:17:52.427,2.38,52.427
15:17:52.502,2.38,52.502
15:17:52.536,2.38,52.536
15:17:52.571,2.38,52.571
15:17:52.642,2.38,52.642
15:17:52.677,2.37,52.677
