Time,Voltage,Time
12:11:10.360,2.38,10.36
12:11:10.394,2.38,10.394
12:11:10.466,2.38,10.466
12:11:10.500,2.38,10.5
12:11:10.536,2.37,10.536
12:11:10.611,2.37,10.611
12:11:10.645,2.37,10.645
12:11:10.679,2.37,10.679
12:11:10.749,2.36,10.749
12:11:10.784,2.36,10.784
12:11:10.854,2.36,10.854
12:11:10.887,2.36,10.887
12:11:10.955,2.36,10.955
12:11:10.993,2.36,10.993
12:11:11.032,2.36,11.032
12:11:11.099,2.36,11.099
12:11:11.133,2.37,11.133
12:11:11.204,2.38,11.204
12:11:11.238,2.38,11.238
12:11:11.309,2.39,11.309
12:11:11.344,2.39,11.344
12:11:11.381,2.39,11.381
12:11:11.452,2.39,11.452
12:11:11.486,2.39,11.486
12:11:11.554,2.39,11.554
12:11:11.593,2.39,11.593
12:11:11.659,2.38,11.659
12:11:11.693,2.39,11.693
12:11:11.762,2.39,11.762
12:11:11.796,2.38,11.796
12:11:11.829,2.38,11.829
12:11:11.900,2.38,11.9
12:11:11.934,2.38,11.934
12:11:12.006,2.38,12.006
12:11:12.042,2.37,12.042
12:11:12.081,2.36,12.081
12:11:12.152,2.36,12.152
12:11:12.185,2.36,12.185
12:11:12.260,2.35,12.26
12:11:12.297,2.35,12.297
12:11:12.331,2.35,12.331
12:11:12.402,2.35,12.402
12:11:12.438,2.35,12.438
12:11:12.510,2.34,12.51
12:11:12.544,2.34,12.544
12:11:12.616,2.35,12.616
12:11:12.653,2.35,12.653
12:11:12.690,2.36,12.69
12:11:12.759,2.37,12.759
12:11:12.793,2.36,12.793
12:11:12.861,2.36,12.861
12:11:12.899,2.36,12.899
12:11:12.938,2.36,12.938
12:11:13.009,2.35,13.009
12:11:13.045,2.35,13.045
12:11:13.080,2.35,13.08
12:11:13.152,2.35,13.152
12:11:13.187,2.34,13.187
12:11:13.254,2.34,13.254
12:11:13.288,2.34,13.288
12:11:13.359,2.33,13.359
12:11:13.396,2.34,13.396
12:11:13.468,2.34,13.468
12:11:13.504,2.33,13.504
12:11:13.537,2.33,13.537
12:11:13.609,2.33,13.609
12:11:13.642,2.33,13.642
12:11:13.709,2.33,13.709
12:11:13.747,2.33,13.747
12:11:13.785,2.33,13.785
12:11:13.855,2.33,13.855
12:11:13.889,2.33,13.889
12:11:13.959,2.32,13.959
12:11:13.993,2.33,13.993
12:11:14.029,2.33,14.029
12:11:14.097,2.33,14.097
12:11:14.133,2.33,14.133
12:11:14.204,2.33,14.204
12:11:14.242,2.33,14.242
12:11:14.313,2.34,14.313
12:11:14.348,2.35,14.348
12:11:14.382,2.35,14.382
12:11:14.453,2.35,14.453
12:11:14.486,2.35,14.486
12:11:14.554,2.35,14.554
12:11:14.589,2.35,14.589
12:11:14.660,2.34,14.66
12:11:14.696,2.34,14.696
12:11:14.730,2.34,14.73
12:11:14.800,2.34,14.8
12:11:14.838,2.35,14.838
12:11:14.910,2.34,14.91
12:11:14.946,2.34,14.946
12:11:15.017,2.34,15.017
12:11:15.053,2.35,15.053
12:11:15.087,2.35,15.087
12:11:15.159,2.35,15.159
12:11:15.192,2.34,15.192
12:11:15.259,2.34,15.259
12:11:15.297,2.33,15.297
12:11:15.331,2.33,15.331
12:11:15.399,2.33,15.399
12:11:15.437,2.33,15.437
12:11:15.508,2.33,15.508
12:11:15.544,2.33,15.544
12:11:15.614,2.33,15.614
12:11:15.653,2.33,15.653
12:11:15.687,2.33,15.687
12:11:15.757,2.33,15.757
12:11:15.791,2.33,15.791
12:11:15.863,2.34,15.863
12:11:15.902,2.35,15.902
12:11:15.936,2.35,15.936
12:11:16.008,2.36,16.008
12:11:16.042,2.37,16.042
12:11:16.109,2.37,16.109
12:11:16.146,2.37,16.146
12:11:16.180,2.37,16.18
12:11:16.248,2.37,16.248
12:11:16.287,2.36,16.287
12:11:16.355,2.37,16.355
12:11:16.389,2.37,16.389
12:11:16.456,2.37,16.456
12:11:16.490,2.37,16.49
12:11:16.559,2.37,16.559
12:11:16.593,2.37,16.593
12:11:16.661,2.37,16.661
12:11:16.698,2.37,16.698
12:11:16.770,2.37,16.77
12:11:16.805,2.36,16.805
12:11:16.838,2.35,16.838
12:11:16.909,2.34,16.909
12:11:16.944,2.34,16.944
12:11:16.982,2.34,16.982
12:11:17.053,2.33,17.053
12:11:17.086,2.33,17.086
12:11:17.155,2.33,17.155
12:11:17.190,2.33,17.19
12:11:17.264,2.33,17.264
12:11:17.302,2.33,17.302
12:11:17.336,2.34,17.336
12:11:17.408,2.35,17.408
12:11:17.442,2.35,17.442
12:11:17.510,2.36,17.51
12:11:17.543,2.36,17.543
12:11:17.617,2.35,17.617
12:11:17.653,2.35,17.653
12:11:17.689,2.35,17.689
12:11:17.761,2.35,17.761
12:11:17.797,2.35,17.797
12:11:17.835,2.34,17.835
12:11:17.907,2.34,17.907
12:11:17.941,2.34,17.941
12:11:18.012,2.34,18.012
12:11:18.045,2.34,18.045
12:11:18.116,2.34,18.116
12:11:18.153,2.33,18.153
12:11:18.186,2.33,18.186
12:11:18.260,2.33,18.26
12:11:18.297,2.33,18.297
12:11:18.366,2.33,18.366
12:11:18.399,2.32,18.399
12:11:18.433,2.32,18.433
12:11:18.505,2.32,18.505
12:11:18.543,2.33,18.543
12:11:18.616,2.32,18.616
12:11:18.653,2.31,18.653
12:11:18.690,2.32,18.69
12:11:18.759,2.33,18.759
12:11:18.792,2.33,18.792
12:11:18.860,2.34,18.86
12:11:18.893,2.34,18.893
12:11:18.961,2.35,18.961
12:11:18.997,2.35,18.997
12:11:19.067,2.35,19.067
12:11:19.102,2.35,19.102
12:11:19.140,2.34,19.14
12:11:19.211,2.34,19.211
12:11:19.246,2.35,19.246
12:11:19.322,2.35,19.322
12:11:19.357,2.35,19.357
12:11:19.391,2.35,19.391
12:11:19.460,2.35,19.46
12:11:19.493,2.35,19.493
12:11:19.560,2.35,19.56
12:11:19.593,2.34,19.593
12:11:19.661,2.33,19.661
12:11:19.697,2.33,19.697
12:11:19.772,2.33,19.772
12:11:19.810,2.32,19.81
12:11:19.844,2.32,19.844
12:11:19.912,2.32,19.912
12:11:19.950,2.32,19.95
12:11:20.022,2.32,20.022
12:11:20.057,2.33,20.057
12:11:20.092,2.34,20.092
12:11:20.160,2.35,20.16
12:11:20.195,2.36,20.195
12:11:20.267,2.36,20.267
12:11:20.305,2.37,20.305
12:11:20.340,2.37,20.34
12:11:20.410,2.37,20.41
12:11:20.443,2.36,20.443
12:11:20.515,2.36,20.515
12:11:20.549,2.36,20.549
12:11:20.588,2.35,20.588
12:11:20.658,2.35,20.658
12:11:20.693,2.35,20.693
12:11:20.759,2.35,20.759
12:11:20.794,2.34,20.794
12:11:20.865,2.34,20.865
12:11:20.901,2.34,20.901
12:11:20.936,2.34,20.936
12:11:21.006,2.34,21.006
12:11:21.040,2.34,21.04
12:11:21.107,2.34,21.107
12:11:21.143,2.34,21.143
12:11:21.211,2.33,21.211
12:11:21.249,2.33,21.249
12:11:21.288,2.33,21.288
12:11:21.356,2.33,21.356
12:11:21.390,2.33,21.39
12:11:21.458,2.32,21.458
12:11:21.491,2.32,21.491
12:11:21.563,2.32,21.563
12:11:21.597,2.33,21.597
12:11:21.667,2.34,21.667
12:11:21.701,2.35,21.701
12:11:21.735,2.35,21.735
12:11:21.807,2.36,21.807
12:11:21.843,2.37,21.843
12:11:21.917,2.37,21.917
12:11:21.953,2.37,21.953
12:11:21.990,2.37,21.99
12:11:22.057,2.37,22.057
12:11:22.091,2.37,22.091
12:11:22.161,2.37,22.161
12:11:22.199,2.37,22.199
12:11:22.234,2.37,22.234
12:11:22.302,2.36,22.302
12:11:22.336,2.36,22.336
12:11:22.407,2.36,22.407
12:11:22.441,2.36,22.441
12:11:22.509,2.36,22.509
12:11:22.544,2.36,22.544
12:11:22.610,2.35,22.61
12:11:22.644,2.35,22.644
12:11:22.711,2.35,22.711
12:11:22.747,2.35,22.747
12:11:22.818,2.34,22.818
12:11:22.852,2.34,22.852
12:11:22.885,2.34,22.885
12:11:22.957,2.34,22.957
12:11:22.993,2.34,22.993
12:11:23.060,2.34,23.06
12:11:23.094,2.35,23.094
12:11:23.165,2.35,23.165
12:11:23.201,2.36,23.201
12:11:23.273,2.36,23.273
12:11:23.311,2.36,23.311
12:11:23.349,2.37,23.349
12:11:23.384,2.37,23.384
12:11:23.453,2.36,23.453
12:11:23.487,2.36,23.487
12:11:23.560,2.36,23.56
12:11:23.594,2.35,23.594
