Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
21,0.9181629789,0.9554008047,0.9584386528,0.9734857054,0.9674949672,0.9734857054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
x,154.25,154.46875,154.5,154.5625,154.53125,154.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
y,149.71875,149.5625,149.5625,149.46875,149.5,149.46875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Δh = x-y,4.53125,4.90625,4.9375,5.09375,5.03125,5.09375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
22,0.8924750013,0.9523532665,0.9554008047,0.9674949672,0.9674949672,0.9704949588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
x,154.15625,154.4375,154.46875,154.53125,154.53125,154.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
y,149.875,149.5625,149.5625,149.5,149.5,149.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Δh = x-y,4.28125,4.875,4.90625,5.03125,5.03125,5.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
23,0.8892118276,0.9462287447,0.9523532665,0.9674949672,0.9644856443,0.9704949588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
x,154.125,154.40625,154.4375,154.53125,154.53125,154.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
y,149.875,149.59375,149.5625,149.5,149.53125,149.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
Δh = x-y,4.25,4.8125,4.875,5.03125,5,5.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
