Var1,Var2,Var3,Var4,Var5,Var6,Var7
Free-stream velocity (m/s),47.24599189,NaN,NaN,NaN,NaN,"Time reponse: smaller manometer? Try one in lab"
Re_disc (assuming 20ºC air),157486.6396,NaN,NaN,NaN,NaN,"Could get a faster pressure sensor. I would need to research it. Accuracy, cost, etc. However, may want to hold off b/c an anemometer is coming in the mail."
Tunnel suction gap (outside of flanges) (cm),3.11,NaN,NaN,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
Data,NaN,NaN,NaN,NaN,NaN,""
Δh_infinity,5.375,5.34375,5.3125,NaN,NaN,""
Horiz pitot-arm-position reading (cm),9.1,27.8,44.3,45.56,NaN,""
Horiz pitot downstream distance (cm),4.8625,23.5625,40.0625,41.3225,NaN,""
x/D,0.9725,4.7125,8.0125,8.2645,NaN,""
# crank revs below starting position,NaN,NaN,NaN,NaN,NaN,""
˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅˅,NaN,NaN,NaN,NaN,NaN,""
0,1,1,1,NaN,NaN,""
x,154.6875,154.6875,154.6875,NaN,NaN,""
y,149.3125,149.34375,149.375,NaN,NaN,""
Δh = x-y,5.375,5.34375,5.3125,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
1,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
2,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
3,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
4,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
5,1,1,1,NaN,NaN,""
x,154.6875,154.6875,154.6875,NaN,NaN,""
y,149.3125,149.34375,149.375,NaN,NaN,""
Δh = x-y,5.375,5.34375,5.3125,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
6,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
7,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
8,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
9,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
10,1,1,1,NaN,NaN,""
x,154.6875,154.6875,154.6875,NaN,NaN,""
y,149.3125,149.34375,149.375,NaN,NaN,""
Δh = x-y,5.375,5.34375,5.3125,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
11,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
12,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
13,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
Δh = x-y,0,0,0,NaN,NaN,""
,NaN,NaN,NaN,NaN,NaN,""
14,0,0,0,NaN,NaN,""
x,NaN,NaN,NaN,NaN,NaN,""
y,NaN,NaN,NaN,NaN,NaN,""
