Station1,WeForgotToTapeTheTop,Var3,Var4,Var5,Var6,Var7,Var8,Station1_1,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Station2,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Station3,Var26,Var27,Var28,Var29,Var30,Var31
NaN,5.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.21875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,,,NaN,NaN,NaN,NaN,5,NaN,,,NaN,NaN
NaN,9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3,NaN,,,NaN,NaN,NaN,NaN,19.3,NaN,,,NaN,NaN
NaN,5.2625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0625,NaN,,,NaN,NaN,NaN,NaN,15.0625,NaN,,,NaN,NaN
NaN,1.0525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0125,NaN,,,NaN,NaN,NaN,NaN,3.0125,NaN,,,NaN,NaN
NaN,2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,h1,h2,NaN,NaN,NaN,NaN,NaN,NaN,h1,h2,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5,-0.5,1.6764,NaN,NaN,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4,-0.4,1.6256,NaN,NaN,0,0,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3,-0.3,1.5748,149.625,154.46875,4.84375,0.9634021552,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2,-0.2,1.524,149.625,154.46875,4.84375,0.9634021552,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN
