Station1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Station2,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Station3,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Station4,Var26,Var27,Var28,Var29,Var30,Var31
NaN,4.1875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1875,NaN,,,NaN,NaN,NaN,NaN,4.1875,NaN,,,NaN,NaN,NaN,NaN,4.1875,NaN,NaN,NaN,NaN,NaN
NaN,9.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3,NaN,,,NaN,NaN,NaN,NaN,19.3,NaN,,,NaN,NaN,NaN,NaN,24.3,NaN,NaN,NaN,NaN,NaN
NaN,5.1625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0625,NaN,,,NaN,NaN,NaN,NaN,15.0625,NaN,,,NaN,NaN,NaN,NaN,20.0625,NaN,NaN,NaN,NaN,NaN
NaN,1.0325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0125,NaN,,,NaN,NaN,NaN,NaN,3.0125,NaN,,,NaN,NaN,NaN,NaN,4.0125,NaN,NaN,NaN,NaN,NaN
NaN,2.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6,NaN,,,NaN,NaN,NaN,NaN,2.6,NaN,,,NaN,NaN,NaN,NaN,2.6,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,h1,h2,NaN,NaN,NaN,NaN,NaN,NaN,h1,h2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1.3208,149.90625,154.09375,4.1875,1,NaN,0,0,1.3208,,,0,0,NaN,0,0,1.3208,,,0,0,NaN,0,0,1.3208,149.9375,154.0625,4.125,0.9925092578
1,0.1,1.27,NaN,NaN,0,0,NaN,1,0.1,1.27,,,0,0,NaN,1,0.1,1.27,,,0,0,NaN,1,0.1,1.27,NaN,NaN,0,0
2,0.2,1.2192,NaN,NaN,0,0,NaN,2,0.2,1.2192,,,0,0,NaN,2,0.2,1.2192,,,0,0,NaN,2,0.2,1.2192,NaN,NaN,0,0
3,0.3,1.1684,NaN,NaN,0,0,NaN,3,0.3,1.1684,,,0,0,NaN,3,0.3,1.1684,,,0,0,NaN,3,0.3,1.1684,NaN,NaN,0,0
4,0.4,1.1176,NaN,NaN,0,0,NaN,4,0.4,1.1176,,,0,0,NaN,4,0.4,1.1176,,,0,0,NaN,4,0.4,1.1176,NaN,NaN,0,0
