Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,4.15625,NaN,NaN,0.7853981634,NaN,NaN,NaN,NaN,NaN,4.15625,NaN,NaN,0.7853981634,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.7853981634,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.7853981634,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.7853981634,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.7853981634,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.7853981634,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.7853981634,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.7853981634,NaN,NaN,NaN
NaN,9.3,NaN,NaN,-0.2333112359,NaN,NaN,NaN,NaN,NaN,14.3,NaN,NaN,0.1388659052,NaN,NaN,NaN,NaN,NaN,14.3,NaN,NaN,0.0496702348,NaN,NaN,NaN,NaN,NaN,19.3,NaN,NaN,0.2037892007,NaN,NaN,NaN,NaN,NaN,24.3,NaN,NaN,0.2040211047,NaN,NaN,NaN,NaN,NaN,29.3,NaN,NaN,0.2019853296,NaN,NaN,NaN,NaN,NaN,34.3,NaN,NaN,0.1983149529,NaN,NaN,NaN,NaN,NaN,39.3,NaN,NaN,0.204509371,NaN,NaN,NaN,NaN,NaN,43.3,NaN,NaN,0.2167320131,NaN,NaN,NaN
NaN,5.0625,NaN,NaN,-0.5941221835,NaN,NaN,NaN,NaN,NaN,10.0625,NaN,NaN,0.3536191239,NaN,NaN,NaN,NaN,NaN,10.0625,NaN,NaN,0.1264842143,NaN,NaN,NaN,NaN,NaN,15.0625,NaN,NaN,0.5189449381,NaN,NaN,NaN,NaN,NaN,20.0625,NaN,NaN,0.5195354768,NaN,NaN,NaN,NaN,NaN,25.0625,NaN,NaN,0.5143514183,NaN,NaN,NaN,NaN,NaN,30.0625,NaN,NaN,0.5050048808,NaN,NaN,NaN,NaN,NaN,35.0625,NaN,NaN,0.5207788368,NaN,NaN,NaN,NaN,NaN,39.0625,NaN,NaN,0.5519035395,NaN,NaN,NaN
NaN,1.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8125,NaN,NaN,NaN,NaN,NaN,NaN
NaN,2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1.3716,149.90625,154.0625,4.15625,1,0,NaN,-15,-1.5,2.1336,149.78125,154.1875,4.40625,1.029636041,NaN,NaN,-15,-1.5,2.1336,149.75,154.25,4.5,1,0,NaN,-15,-1.5,2.286,149.75,154.25,4.5,1,0,NaN,-15,-1.5,2.286,149.75,154.25,4.5,1,0,NaN,-15,-1.5,2.286,149.75,154.25,4.5,1,0,NaN,-15,-1.5,2.286,149.75,154.25,4.5,1,0,NaN,-15,-1.5,2.286,149.75,154.25,4.5,1,0,NaN,-15,-1.5,2.286,149.75,154.25,4.5,1,0
1,0.1,1.3208,149.90625,154.0625,4.15625,1,0,NaN,-14,-1.4,2.0828,149.8125,154.15625,4.34375,1.022307577,NaN,NaN,-14,-1.4,2.0828,149.75,154.25,4.5,1,0,NaN,-14,-1.4,2.2352,149.75,154.25,4.5,1,0,NaN,-14,-1.4,2.2352,149.75,154.25,4.5,1,0,NaN,-14,-1.4,2.2352,149.75,154.25,4.5,1,0,NaN,-14,-1.4,2.2352,149.75,154.25,4.5,1,0,NaN,-14,-1.4,2.2352,149.75,154.25,4.5,1,0,NaN,-14,-1.4,2.2352,149.75,154.25,4.5,1,0
2,0.2,1.27,149.90625,154.0625,4.15625,1,0,NaN,-13,-1.3,2.032,149.875,154.125,4.25,1.011215304,NaN,NaN,-13,-1.3,2.032,149.75,154.25,4.5,1,0,NaN,-13,-1.3,2.1844,149.75,154.25,4.5,1,0,NaN,-13,-1.3,2.1844,149.75,154.25,4.5,1,0,NaN,-13,-1.3,2.1844,149.75,154.25,4.5,1,0,NaN,-13,-1.3,2.1844,149.75,154.25,4.5,1,0,NaN,-13,-1.3,2.1844,149.75,154.25,4.5,1,0,NaN,-13,-1.3,2.1844,149.75,154.25,4.5,1,0
