Constant parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disc name,A3,,All distances are in inches unless otherwise specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter (cm),5.0,,"1 vertical crank revolution = 0.100"", approx 2.5mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Span (cm),0.5,,"Clockwise --> down, CCW --> up. When you switch directions, lag is 3 cranks. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width of test frame,4,,"Pitot readings are h1, h1, and Δh in inches of water. Output reading is nondimensional U/U_infinity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horiz dist from disc to edge of frame,2,,"Should probably take data every every 1 crank in wake for circular discs, every 0.5 cranks in wake for annuli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horiz position of downstream frame edge (cm),9.000,,"Human error on each Δh is ±1/16"" (1/32"" in either/both directions). On each x error is ±0.0625"" or ±1mm, whichever is being used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thickness of upstream plastic barrier (cm),1.25,,For sealing top: Painter's tape: e.g. Frog Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitot opening dist upstream of arm,0.125,,Getting the kinks out of the tubing fixed the time response of the manometer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air density (kg/m^3),1.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free-stream velocity (m/s),43.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re_disc (assuming 20ºC air),1.46E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunnel suction gap (outside of flanges) (cm),2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station 1,date,,,,,,,,Station 2,date,,,,,,,,Station 3,4/19/23,,,,,,,,Station 4,date,,,,,,,,Station 5,date,,,,,,,,Station 6,date,,,,,,,,Station 7,4/21/2023,,,,,,,,Station 8,date,,,,,,
Δh_infinity,4.625,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.2827433388,,,U inclusion threshold for thrust,,Δh_infinity,4.625,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.2827433388,,,U inclusion threshold for thrust,,Δh_infinity,4.6875,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.2827433388,,,U inclusion threshold for thrust,,Δh_infinity,4.59375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.2827433388,,,U inclusion threshold for thrust,,Δh_infinity,4.5625,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.2827433388,,,U inclusion threshold for thrust,,Δh_infinity,4.46875,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.2827433388,,,U inclusion threshold for thrust,,Δh_infinity,4.5625,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.2827433388,,,U inclusion threshold for thrust,,Δh_infinity,4.4375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.2827433388,,,U inclusion threshold for thrust
Horiz pitot-arm-position reading (cm),9.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.09202654303,,,0.98,,Horiz pitot-arm-position reading (cm),14.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.09502842803,,,0.98,,Horiz pitot-arm-position reading (cm),19.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.09790986571,,,0.98,,Horiz pitot-arm-position reading (cm),24.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.09476100444,,,0.98,,Horiz pitot-arm-position reading (cm),29.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.1026847313,,,0.98,,Horiz pitot-arm-position reading (cm),34.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.09788157465,,,0.98,,Horiz pitot-arm-position reading (cm),39.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.1069801389,,,0.98,,Horiz pitot-arm-position reading (cm),44.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.09627826476,,,0.98
