0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5
0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
1,4.375,1,4.375,1,4.5,1,4.5,1,4.46875,1,4.5,1,4.5,1,4.4375
1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0,1.5,0
2,4.375,2,4.375,2,4.46875,2,4.4375,2,4.4375,2,4.5,2,4.46875,2,4.4375
2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0
3,4.375,3,4.375,3,4.46875,3,4.4375,3,4.4375,3,4.46875,3,4.4375,3,4.4375
3.5,0,3.5,0,3.5,0,3.5,0,3.5,0,3.5,0,3.5,0,3.5,0
4,4.375,4,4.375,4,4.46875,4,4.4375,4,4.4375,4,4.46875,4,4.4375,4,4.4375
4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0,4.5,0
5,4.375,5,4.375,5,4.4375,5,4.4375,5,4.4375,5,4.46875,5,4.4375,5,4.375
5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0,5.5,0
6,4.375,6,4.34375,6,4.4375,6,4.4375,6,4.4375,6,4.4375,6,4.4375,6,4.375
6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0
7,4.375,7,4.34375,7,4.4375,7,4.4375,7,4.4375,7,4.4375,7,4.4375,7,4.375
7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0
8,4.375,8,4.34375,8,4.4375,8,4.4375,8,4.4375,8,4.4375,8,4.375,8,4.375
8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0
9,4.375,9,4.34375,9,4.4375,9,4.4375,9,4.4375,9,4.4375,9,4.375,9,4.3125
9.5,0,9.5,0,9.5,0,9.5,0,9.5,0,9.5,0,9.5,0,9.5,4.25
10,4.375,10,4.34375,10,4.4375,10,4.4375,10,4.375,10,4.375,10,4.34375,10,4.25
10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,4.15625
11,4.375,11,4.34375,11,4.40625,11,4.375,11,4.25,11,4.3125,11,4.28125,11,4.09375
11.5,0,11.5,0,11.5,0,11.5,0,11.5,0,11.5,0,11.5,0,11.5,4
12,4.375,12,4.34375,12,4.375,12,4.34375,12,4.0625,12,4.1875,12,4.125,12,3.90625
12.5,4.25,12.5,0,12.5,4.375,12.5,0,12.5,3.96875,12.5,4.125,12.5,4.03125,12.5,3.84375
13,3.96875,13,4.34375,13,4.21875,13,4.125,13,3.78125,13,4,13,3.96875,13,3.75
13.5,3.46875,13.5,0,13.5,4.03125,13.5,4,13.5,3.625,13.5,3.875,13.5,3.875,13.5,3.625
14,2.8125,14,4.25,14,3.84375,14,3.875,14,3.46875,14,3.75,14,3.75,14,3.5
14.5,2.125,14.5,4.125,14.5,3.59375,14.5,3.625,14.5,3.28125,14.5,3.625,14.5,3.65625,14.5,3.40625
15,1.40625,15,3.875,15,3.34375,15,3.4375,15,3.125,15,3.46875,15,3.5,15,3.3125
15.5,0.84375,15.5,3.5,15.5,3.03125,15.5,3.25,15.5,3,15.5,3.34375,15.5,3.375,15.5,3.21875
16,0.46875,16,3.09375,16,2.78125,16,3.0625,16,2.90625,16,3.25,16,3.28125,16,3.125
16.5,0.34375,16.5,2.71875,16.5,2.59375,16.5,2.90625,16.5,2.78125,16.5,3.125,16.5,3.21875,16.5,3.0625
17,0.5,17,2.375,17,2.40625,17,2.75,17,2.71875,17,3.03125,17,3.09375,17,3
17.5,0.9375,17.5,2,17.5,2.21875,17.5,2.625,17.5,2.65625,17.5,2.90625,17.5,3.03125,17.5,2.96875
18,1.625,18,1.75,18,2.15625,18,2.5,18,2.601325758,18,2.875,18,2.96875,18,2.875
18.5,2.4375,18.5,1.625,18.5,2.15625,18.5,2.46875,18.5,2.625,18.5,2.8125,18.5,2.96875,18.5,2.84375
19,3.375,19,1.53125,19,2.21875,19,2.46875,19,2.65625,19,2.75,19,2.84375,19,2.8125
19.5,0,19.5,1.59375,19.5,2.3125,19.5,2.5,19.5,2.6875,19.5,2.75,19.5,2.8125,19.5,2.78125
20,4.28125,20,1.78125,20,2.53125,20,2.59375,20,2.78125,20,2.75,20,2.78125,20,2.78125
20.5,0,20.5,2.125,20.5,2.71875,20.5,2.71875,20.5,2.84375,20.5,2.75,20.5,2.78125,20.5,2.78125
21,4.375,21,2.5,21,3,21,2.84375,21,2.9375,21,2.78125,21,2.78125,21,2.78125
21.5,0,21.5,2.875,21.5,3.21875,21.5,3,21.5,2.96875,21.5,2.8125,21.5,2.8125,21.5,2.78125
22,4.375,22,3.375,22,3.5,22,3.125,22,3.0625,22,2.84375,22,2.8125,22,2.78125
22.5,0,22.5,3.75,22.5,3.71875,22.5,3.25,22.5,3.125,22.5,2.90625,22.5,2.84375,22.5,2.78125
23,4.375,23,4,23,3.90625,23,3.375,23,3.15625,23,2.90625,23,2.84375,23,2.78125
23.5,0,23.5,0,23.5,4,23.5,3.5,23.5,3.1875,23.5,2.90625,23.5,2.84375,23.5,2.78125
24,4.375,24,4.28125,24,4.0625,24,3.5625,24,3.15625,24,2.96875,24,2.875,24,2.8125
24.5,0,24.5,0,24.5,4.09375,24.5,3.59375,24.5,3.15625,24.5,2.96875,24.5,2.875,24.5,2.8125
25,4.375,25,4.28125,25,4.03125,25,3.59375,25,3.09375,25,2.96875,25,2.84375,25,2.8125
25.5,0,25.5,0,25.5,3.96875,25.5,3.53125,25.5,3.0625,25.5,2.96875,25.5,2.84375,25.5,2.8125
26,4.375,26,4.25,26,3.8125,26,3.4375,26,2.96875,26,2.90625,26,2.84375,26,2.78125
26.5,4.28125,26.5,0,26.5,3.6875,26.5,3.34375,26.5,2.90625,26.5,2.90625,26.5,2.84375,26.5,2.8125
27,3.90625,27,4.25,27,3.46875,27,3.15625,27,2.8125,27,2.90625,27,2.84375,27,2.8125
