Constant parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disc name,C2,,All distances are in inches unless otherwise specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter (cm),5,,"1 vertical crank revolution = 0.100"", approx 2.5mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width of test frame,4,,"Clockwise --> down, CCW --> up. When you switch directions, lag is 3 cranks. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horiz dist from disc to edge of frame,2,,"Pitot readings are h1, h1, and Δh in inches of water. Output reading is nondimensional U/U_infinity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horiz position of downstream frame edge (cm),9.000,,"Should probably take data every 1 or 2 cranks in free stream, and every 1 crank in wake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thickness of upstream plastic barrier (cm),1.25,,"Human error on each Δh is ±1/16"" (1/32"" in either/both directions). On each x error is ±0.0625"" or ±1mm, whichever is being used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitot opening dist upstream of arm,0.125,,For sealing top: Painter's tape: e.g. Frog Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air density (kg/m^3),1.200,,Getting the kinks out of the tubing fixed the time response of the manometer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free-stream velocity (m/s),41.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re_disc (assuming 20ºC air),1.38E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunnel suction gap (outside of flanges) (cm),2.99,starting 9/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitot probe not fixed,,,,,,,,,Pitot probe not fixed,,,,,,,,,Pitot probe fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station 1,,,,,,,,,Station 2,,,,,,,,,Station 2 new,9/28/22,,,,,,,,Station 3,9/30/22,,,,,,,,Station 4,10/1/22,,,,,,,,Station 5,,,,,,,,,Station 6,10/2/22,,,,,,,,Station 7,,,,,,,,,Station 8,,,,,,,
