Constant parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disc name,A2,,All distances are in inches unless otherwise specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter (cm),5.0,,"1 vertical crank revolution = 0.100"", approx 2.5mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Span (cm),0.9,,"Clockwise --> down, CCW --> up. When you switch directions, lag is 3 cranks. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width of test frame,4,,"Pitot readings are h1, h1, and Δh in inches of water. Output reading is nondimensional U/U_infinity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horiz dist from disc to edge of frame,2,,"Should probably take data every every 1 crank in wake for circular discs, every 0.5 cranks in wake for annuli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horiz position of downstream frame edge (cm),9.000,,"Human error on each Δh is ±1/16"" (1/32"" in either/both directions). On each x error is ±0.0625"" or ±1mm, whichever is being used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thickness of upstream plastic barrier (cm),1.25,,For sealing top: Painter's tape: e.g. Frog Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitot opening dist upstream of arm,0.125,,Getting the kinks out of the tubing fixed the time response of the manometer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air density (kg/m^3),1.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free-stream velocity (m/s),43.230,,"NOTE: measurement procedure here was to measure crank 0 first, then go all the way down to the bottom and measure from the bottom up. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re_disc (assuming 20ºC air),1.44E+05,,"^ Therefore, considering the slowing of the wind tunnel over the course of measuring a station, if we want to correct for that, we may wish to disregard crank 0. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunnel suction gap (outside of flanges) (cm),2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Before collecting this set of data, I noticed that the wind tunnel was cranked to a huge opening, and the screw of the manometer is loose. ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I tightened the screw and cranked the wind tunnel back to its original position before starting collecting data,,,,,,
Station 1,10/4/2022,,,,,,,,Station 2,10/4/2022,,,,,,,,Station 3 deprecated,10/5/2022,,,,,,,Station 3 new,10/7/22,,,,,,,,Station 4,10/7/22,,,,,,,,Station 5,10/7/22,,,,,,,,Station 6,2022.10.8,,,,,,,,Station 7,2022.10.8,,,,,,,,Station 8,2022.10.8,,,,,,,,Station 8,10/12/22,"Note on 10/14/22: tunnel suction gap was actually slightly smaller than before, at 2.44 cm",,,,
Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.4636990757,,,U inclusion threshold for thrust,,Δh_infinity,4.40625,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.4636990757,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,,,,,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.4636990757,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.4636990757,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.4636990757,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.4636990757,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.4636990757,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.4636990757,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,,,,
Horiz pitot-arm-position reading (cm),9.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.207083879,,,0.98,,Horiz pitot-arm-position reading (cm),14.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2288420444,,,0.98,,Horiz pitot-arm-position reading (cm),19.3,,,,,,,Horiz pitot-arm-position reading (cm),19.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.220743977,,,0.98,,Horiz pitot-arm-position reading (cm),24.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2163599391,,,0.98,,Horiz pitot-arm-position reading (cm),29.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2166607481,,,0.98,,Horiz pitot-arm-position reading (cm),34.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2132958623,,,0.98,,Horiz pitot-arm-position reading (cm),39.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.213867169,,,0.98,,Horiz pitot-arm-position reading (cm),44.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2160034598,,,0.98,,Horiz pitot-arm-position reading (cm),44.3,,,,,
Horiz pitot downstream distance (cm),5.263,,Thrust coefficient,0.8931821946,,,,,Horiz pitot downstream distance (cm),10.063,,Thrust coefficient,0.9870282535,,,,,Horiz pitot downstream distance (cm),15.063,,,,,,,Horiz pitot downstream distance (cm),15.063,,Thrust coefficient,0.9521001381,,,,,Horiz pitot downstream distance (cm),20.063,,Thrust coefficient,0.9331911598,,,,,Horiz pitot downstream distance (cm),25.063,,Thrust coefficient,0.9344885915,,,,,Horiz pitot downstream distance (cm),30.063,,Thrust coefficient,0.919975361,,,,,Horiz pitot downstream distance (cm),35.063,,Thrust coefficient,0.9224394883,,,,,Horiz pitot downstream distance (cm),40.063,,Thrust coefficient,0.9316536141,,,,,Horiz pitot downstream distance (cm),40.063,,,,,
x/D,1.0525,,,,,,"Trapezium, full circle",,x/D,2.0125,,,,,,"Trapezium, full circle",,x/D,3.0125,,,,,,,x/D,3.0125,,,,,,"Trapezium, full circle",,x/D,4.0125,,,,,,"Trapezium, full circle",,x/D,5.0125,,,,,,"Trapezium, full circle",,x/D,6.0125,,,,,,"Trapezium, full circle",,x/D,7.0125,,,,,,"Trapezium, full circle",,x/D,8.0125,,,,,,"Trapezium, full circle",,x/D,8.0125,,,,,
y at r=0,70.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,76.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,73.5,,,,,,,y at r=0,73.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,73.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,70.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,75,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,73.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,70.5,,,,,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",,y at r=0,75,,,,,
# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf,Normalized thrust (full circles),,# crank revs below starting position,y (mm),r/D,h1,h2,Δh = h2 - h1,U/Uinf
0,0,1.41,149.75,154.25,4.5,1.0000,0,,0,0,1.53,149.75,154.25,4.5,1.0106,0,,0,0,1.47,149.75,154.25,4.5,1.0000,,0,0,1.47,149.75,154.25,4.5,1.0000,0,,0,0,1.47,149.75,154.25,4.5,1.0000,0,,0,0,1.41,149.75,154.25,4.5,1.0000,0,,0,0,1.5,149.75,154.25,4.5,1.0000,0,,0,0,1.47,149.75,154.25,4.5,1.0000,0,,0.0000,0,1.41,149.75,154.25,4.5,1.0000,0,,-15,-45,2.4,149.75,154.25,4.5,1.0000
0.5,1.5,1.38,,,0,,,,0.5,1.5,1.5,,,0,,,,0.5,1.5,1.44,,,0,,,0.5,1.5,1.44,,,0,,,,0.5,1.5,1.44,,,0,,,,0.5,1.5,1.38,,,0,,,,0.5,1.5,1.47,,,0,,,,0.5,1.5,1.44,,,0,,,,0.5000,1.5,1.38,,,0,,,,-14.5,-43.5,2.37,,,0,0.0000
1,3,1.35,149.8125,154.1875,4.375,0.9860,0,,1,3,1.47,149.8125,154.1875,4.375,0.9964,0,,1,3,1.41,149.78125,154.25,4.46875,0.9965,,1,3,1.41,149.75,154.25,4.5,1.0000,0,,1,3,1.41,149.75,154.25,4.5,1.0000,0,,1,3,1.35,149.78125,154.25,4.46875,0.9965,0,,1,3,1.44,149.75,154.25,4.5,1.0000,0,,1,3,1.41,149.75,154.25,4.5,1.0000,0,,1.0000,3,1.35,149.78125,154.21875,4.4375,0.9930,0,,-14,-42,2.34,149.75,154.25,4.5,1.0000
1.5,4.5,1.32,,,0,,,,1.5,4.5,1.44,,,0,,,,1.5,4.5,1.38,,,0,,,1.5,4.5,1.38,,,0,,,,1.5,4.5,1.38,,,0,,,,1.5,4.5,1.32,,,0,,,,1.5,4.5,1.41,,,0,,,,1.5,4.5,1.38,,,0,,,,1.5000,4.5,1.32,,,0,,,,-13.5,-40.5,2.31,,,0,0.0000
2,6,1.29,149.8125,154.1875,4.375,0.9860,0,,2,6,1.41,149.8125,154.1875,4.375,0.9964,0,,2,6,1.35,149.78125,154.25,4.46875,0.9965,,2,6,1.35,149.78125,154.25,4.46875,0.9965,0,,2,6,1.35,149.78125,154.21875,4.4375,0.9930,0,,2,6,1.29,149.78125,154.21875,4.4375,0.9930,0,,2,6,1.38,149.75,154.25,4.5,1.0000,0,,2,6,1.35,149.78125,154.25,4.46875,0.9965,0,,2.0000,6,1.29,149.78125,154.21875,4.4375,0.9930,0,,-13,-39,2.28,149.75,154.25,4.5,1.0000
2.5,7.5,1.26,,,0,,,,2.5,7.5,1.38,,,0,,,,2.5,7.5,1.32,,,0,,,2.5,7.5,1.32,,,0,,,,2.5,7.5,1.32,,,0,,,,2.5,7.5,1.26,,,0,,,,2.5,7.5,1.35,,,0,,,,2.5,7.5,1.32,,,0,,,,2.5000,7.5,1.26,,,0,,,,-12.5,-37.5,2.25,,,0,0.0000
3,9,1.23,149.8125,154.1875,4.375,0.9860,0,,3,9,1.35,149.8125,154.1875,4.375,0.9964,0,,3,9,1.29,149.78125,154.25,4.46875,0.9965,,3,9,1.29,149.78125,154.25,4.46875,0.9965,0,,3,9,1.29,149.78125,154.21875,4.4375,0.9930,0,,3,9,1.23,149.78125,154.21875,4.4375,0.9930,0,,3,9,1.32,149.78125,154.25,4.46875,0.9965,0,,3,9,1.29,149.78125,154.21875,4.4375,0.9930,0,,3.0000,9,1.23,149.78125,154.21875,4.4375,0.9930,0,,-12,-36,2.22,149.75,154.25,4.5,1.0000
3.5,10.5,1.2,,,0,,,,3.5,10.5,1.32,,,0,,,,3.5,10.5,1.26,,,0,,,3.5,10.5,1.26,,,0,,,,3.5,10.5,1.26,,,0,,,,3.5,10.5,1.2,,,0,,,,3.5,10.5,1.29,,,0,,,,3.5,10.5,1.26,,,0,,,,3.5000,10.5,1.2,,,0,,,,-11.5,-34.5,2.19,,,0,0.0000
4,12,1.17,149.8125,154.1875,4.375,0.9860,0,,4,12,1.29,149.8125,154.1875,4.375,0.9964,0,,4,12,1.23,149.78125,154.21875,4.4375,0.9930,,4,12,1.23,149.78125,154.25,4.46875,0.9965,0,,4,12,1.23,149.78125,154.21875,4.4375,0.9930,0,,4,12,1.17,149.78125,154.21875,4.4375,0.9930,0,,4,12,1.26,149.78125,154.25,4.46875,0.9965,0,,4,12,1.23,149.78125,154.21875,4.4375,0.9930,0,,4.0000,12,1.17,149.78125,154.21875,4.4375,0.9930,0,,-11,-33,2.16,149.75,154.25,4.5,1.0000
