Constant parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disc name,A3,,All distances are in inches unless otherwise specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter (cm),5.0,,1 vertical crank revolution = 3.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Span (cm),2.5,,"Clockwise --> down, CCW --> up. When you switch directions, lag is 3 cranks. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width of test frame,4,,"Pitot readings are h1, h1, and Δh in inches of water. Output reading is nondimensional U/U_infinity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horiz dist from disc to edge of frame,2,,"Should probably take data every every 1 crank in wake for circular discs, every 0.5 cranks in wake for annuli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horiz position of downstream frame edge (cm),9.000,,"Human error on each Δh is ±1/16"" (1/32"" in either/both directions). On each x error is ±0.0625"" or ±1mm, whichever is being used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thickness of upstream plastic barrier (cm),1.25,,For sealing top: Painter's tape: e.g. Frog Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitot opening dist upstream of arm,0.125,,Getting the kinks out of the tubing fixed the time response of the manometer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air density (kg/m^3),1.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free-stream velocity (m/s),43.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re_disc (assuming 20ºC air),1.44E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunnel suction gap (outside of flanges) (cm),2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station 1,date,,,,,,,,Station 2,date,,,,,,,,Station 3,date,,,,,,,,Station 4,date,,,,,,,,Station 5,date,,,,,,,,Station 6,date,,,,,,,,Station 7,date,,,,,,,,Station 8,date,,,,,,
Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.53125,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.4375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust
Horiz pitot-arm-position reading (cm),9.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0,,,0.98,,Horiz pitot-arm-position reading (cm),14.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0,,,0.98,,Horiz pitot-arm-position reading (cm),19.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2902177611,,,0.98,,Horiz pitot-arm-position reading (cm),24.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2905560748,,,0.98,,Horiz pitot-arm-position reading (cm),29.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.266099815,,,0.98,,Horiz pitot-arm-position reading (cm),34.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0,,,0.98,,Horiz pitot-arm-position reading (cm),39.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0,,,0.98,,Horiz pitot-arm-position reading (cm),44.3,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0,,,0.98
