Constant parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disc name,A3,,All distances are in inches unless otherwise specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter (cm),5.0,,1 vertical crank revolution = 3.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Span (cm),2.5,,"Clockwise --> down, CCW --> up. When you switch directions, lag is 3 cranks. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Width of test frame,4,,"Pitot readings are h1, h1, and Δh in inches of water. Output reading is nondimensional U/U_infinity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horiz dist from disc to downstream edge of frame,3.5,,"Should probably take data every every 1 crank in wake for circular discs, every 0.5 cranks in wake for annuli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horiz position of downstream frame edge (cm),9.000,,"Human error on each Δh is ±1/16"" (1/32"" in either/both directions). On each x error is ±0.0625"" or ±1mm, whichever is being used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thickness of upstream plastic barrier (cm),1.25,,For sealing top: Painter's tape: e.g. Frog Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitot opening dist upstream of arm,0.125,,Getting the kinks out of the tubing fixed the time response of the manometer!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air density (kg/m^3),1.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free-stream velocity (m/s),43.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re_disc (assuming 20ºC air),1.44E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunnel suction gap (outside of flanges) (cm),2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,No vibrations of the disc relative to the wind tunnel were visible (by eye and via slow-motion video),,,,,,,,,Tightened the strings before collecting data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station 2,date,,,,,,,,Station 3,June 9,,,,,,,,Station 4,date,Jun 12,,,,,,,Station 5,date,Jun 12,,,,,,,Station 6,date,Jun 14,,,,,,,Station 7,date,,,,,,,,Station 8,date,,,,,,,,Station 9,date,,,,,,
Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.4375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.5,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.40625,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.4375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust,,Δh_infinity,4.34375,,"Unobstructed momentum (rho-, D-, and U-normalized)",0.7853981634,,,U inclusion threshold for thrust
Horiz pitot-arm-position reading (cm),10.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0,,,0.98,,Horiz pitot-arm-position reading (cm),15.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2093901204,,,0.98,,Horiz pitot-arm-position reading (cm),20.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2049641633,,,0.98,,Horiz pitot-arm-position reading (cm),25.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2086581228,,,0.98,,Horiz pitot-arm-position reading (cm),30.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2095409852,,,0.98,,Horiz pitot-arm-position reading (cm),35.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2109548333,,,0.98,,Horiz pitot-arm-position reading (cm),40.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2095364355,,,0.98,,Horiz pitot-arm-position reading (cm),45.5,,Isobaric thrust (sum of half circles = 0.5 * sum of circles),0.2038873692,,,0.98
