Data,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,BeforeCollectingThisSetOfData_INoticedThatTheWindTunnelWasCrank,Var82,Var83,Var84,Var85,Var86,Var87
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,44838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44846,NaN,NaN,NaN,NaN,NaN
NaN,4.5,NaN,NaN,0.4636990757,NaN,NaN,NaN,NaN,NaN,4.40625,NaN,NaN,0.4636990757,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.4636990757,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.4636990757,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.4636990757,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.4636990757,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.4636990757,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,0.4636990757,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,NaN,NaN,NaN
NaN,9.5,NaN,NaN,0.207083879,NaN,NaN,0.98,NaN,NaN,14.3,NaN,NaN,0.2288420444,NaN,NaN,0.98,NaN,NaN,19.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,NaN,NaN,0.220743977,NaN,NaN,0.98,NaN,NaN,24.3,NaN,NaN,0.2163599391,NaN,NaN,0.98,NaN,NaN,29.3,NaN,NaN,0.2166607481,NaN,NaN,0.98,NaN,NaN,34.3,NaN,NaN,0.2132958623,NaN,NaN,0.98,NaN,NaN,39.3,NaN,NaN,0.213867169,NaN,NaN,0.98,NaN,NaN,44.3,NaN,NaN,0.2160034598,NaN,NaN,0.98,NaN,NaN,44.3,NaN,NaN,NaN,NaN,NaN
NaN,5.2625,NaN,NaN,0.8931821946,NaN,NaN,NaN,NaN,NaN,10.0625,NaN,NaN,0.9870282535,NaN,NaN,NaN,NaN,NaN,15.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.0625,NaN,NaN,0.9521001381,NaN,NaN,NaN,NaN,NaN,20.0625,NaN,NaN,0.9331911598,NaN,NaN,NaN,NaN,NaN,25.0625,NaN,NaN,0.9344885915,NaN,NaN,NaN,NaN,NaN,30.0625,NaN,NaN,0.919975361,NaN,NaN,NaN,NaN,NaN,35.0625,NaN,NaN,0.9224394883,NaN,NaN,NaN,NaN,NaN,40.0625,NaN,NaN,0.9316536141,NaN,NaN,NaN,NaN,NaN,40.0625,NaN,NaN,NaN,NaN,NaN
NaN,1.0525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0125,NaN,NaN,NaN,NaN,NaN
NaN,70.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1.41,149.75,154.25,4.5,1,0,NaN,0,0,1.53,149.75,154.25,4.5,1.010582305,0,NaN,0,0,1.47,149.75,154.25,4.5,1,NaN,0,0,1.47,149.75,154.25,4.5,1,0,NaN,0,0,1.47,149.75,154.25,4.5,1,0,NaN,0,0,1.41,149.75,154.25,4.5,1,0,NaN,0,0,1.5,149.75,154.25,4.5,1,0,NaN,0,0,1.47,149.75,154.25,4.5,1,0,NaN,0,0,1.41,149.75,154.25,4.5,1,0,NaN,-15,-45,2.4,149.75,154.25,4.5,1
0.5,1.5,1.38,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.5,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.44,NaN,NaN,0,NaN,NaN,0.5,1.5,1.44,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.44,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.38,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.47,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.44,NaN,NaN,0,NaN,NaN,NaN,0.5,1.5,1.38,NaN,NaN,0,NaN,NaN,NaN,-14.5,-43.5,2.37,NaN,NaN,0,0
