Station1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Station2,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Station4,Var18,x30_10_2022,Var20,Var21,Var22,Var23,Var24,Station8,Var26,Var27,Var28,Var29,Var30,Var31
NaN,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5625,NaN,NaN,NaN,NaN,NaN
NaN,9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.3,NaN,NaN,NaN,NaN,NaN
NaN,5.2625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0625,NaN,NaN,NaN,NaN,NaN
NaN,1.0525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0125,NaN,NaN,NaN,NaN,NaN
NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1.27,149.75,154.25,4.5,1,NaN,0,0,0,NaN,NaN,0,0,NaN,0,0,0,149.75,154.25,4.5,1,NaN,0,0,0,149.6875,154.25,4.5625,1
1,0.1,1.2192,NaN,NaN,0,0,NaN,1,0.1,-0.0508,NaN,NaN,0,0,NaN,1,0.1,-0.0508,NaN,NaN,0,0,NaN,1,0.1,-0.0508,NaN,NaN,0,0
2,0.2,1.1684,NaN,NaN,0,0,NaN,2,0.2,-0.1016,NaN,NaN,0,0,NaN,2,0.2,-0.1016,NaN,NaN,0,0,NaN,2,0.2,-0.1016,NaN,NaN,0,0
3,0.3,1.1176,NaN,NaN,0,0,NaN,3,0.3,-0.1524,NaN,NaN,0,0,NaN,3,0.3,-0.1524,NaN,NaN,0,0,NaN,3,0.3,-0.1524,NaN,NaN,0,0
4,0.4,1.0668,NaN,NaN,0,0,NaN,4,0.4,-0.2032,NaN,NaN,0,0,NaN,4,0.4,-0.2032,NaN,NaN,0,0,NaN,4,0.4,-0.2032,NaN,NaN,0,0
5,0.5,1.016,149.75,154.25,4.5,1,NaN,5,0.5,-0.254,NaN,NaN,0,0,NaN,5,0.5,-0.254,149.75,154.25,4.5,1,NaN,5,0.5,-0.254,149.6875,154.25,4.5625,1
6,0.6,0.9652,NaN,NaN,0,0,NaN,6,0.6,-0.3048,NaN,NaN,0,0,NaN,6,0.6,-0.3048,NaN,NaN,0,0,NaN,6,0.6,-0.3048,NaN,NaN,0,0
7,0.7,0.9144,NaN,NaN,0,0,NaN,7,0.7,-0.3556,NaN,NaN,0,0,NaN,7,0.7,-0.3556,NaN,NaN,0,0,NaN,7,0.7,-0.3556,NaN,NaN,0,0
8,0.8,0.8636,NaN,NaN,0,0,NaN,8,0.8,-0.4064,NaN,NaN,0,0,NaN,8,0.8,-0.4064,NaN,NaN,0,0,NaN,8,0.8,-0.4064,NaN,NaN,0,0
9,0.9,0.8128,NaN,NaN,0,0,NaN,9,0.9,-0.4572,NaN,NaN,0,0,NaN,9,0.9,-0.4572,NaN,NaN,0,0,NaN,9,0.9,-0.4572,NaN,NaN,0,0
10,1,0.762,149.75,154.21875,4.46875,0.9965217286,NaN,10,1,-0.508,NaN,NaN,0,0,NaN,10,1,-0.508,149.75,154.25,4.5,1,NaN,10,1,-0.508,149.6875,154.25,4.5625,1
