Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71
NaN,NaN,45143,NaN,NaN,NaN,,"",NaN,NaN,NaN,45143,NaN,NaN,NaN,,"",NaN,NaN,NaN,45143,NaN,NaN,NaN,,"",NaN,NaN,NaN,45056,NaN,NaN,NaN,,"",NaN,NaN,NaN,45058,NaN,NaN,NaN,,"",NaN,NaN,NaN,45060,NaN,NaN,NaN,,"",NaN,NaN,NaN,45060,NaN,NaN,NaN,,"",NaN,NaN,NaN,45061,NaN,NaN,NaN,,""
NaN,4.5625,NaN,NaN,0.6597344573,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.5,NaN,NaN,0.6597344573,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.46875,NaN,NaN,0.6597344573,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.5625,NaN,NaN,0.6597344573,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.4375,NaN,NaN,0.6597344573,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.5,NaN,NaN,0.6597344573,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.40625,NaN,NaN,0.6597344573,NaN,,"U inclusion threshold for thrust",NaN,NaN,4.5,NaN,NaN,0.6597344573,NaN,,"U inclusion threshold for thrust"
NaN,9.5,NaN,NaN,0.1648035275,NaN,,"0.98",NaN,NaN,14.3,NaN,NaN,0.1671274568,NaN,,"0.98",NaN,NaN,19.3,NaN,NaN,0.1727815845,NaN,,"0.98",NaN,NaN,24.3,NaN,NaN,0.2183821225,NaN,,"0.98",NaN,NaN,29.3,NaN,NaN,0.1901266687,NaN,,"0.98",NaN,NaN,34.3,NaN,NaN,0.1915632633,NaN,,"0.98",NaN,NaN,39.3,NaN,NaN,0.1740318569,NaN,,"0.98",NaN,NaN,44.3,NaN,NaN,0.1704203715,NaN,,"0.98"
NaN,5.2625,NaN,NaN,0.4996056389,NaN,,"",NaN,NaN,10.0625,NaN,NaN,0.5066506835,NaN,,"",NaN,NaN,15.0625,NaN,NaN,0.5237913,NaN,,"",NaN,NaN,20.0625,NaN,NaN,0.6620303673,NaN,,"",NaN,NaN,25.0625,NaN,NaN,0.5763733168,NaN,,"",NaN,NaN,30.0625,NaN,NaN,0.580728386,NaN,,"",NaN,NaN,35.0625,NaN,NaN,0.5275815292,NaN,,"",NaN,NaN,40.0625,NaN,NaN,0.516633229,NaN,,""
NaN,1.0525,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,2.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,3.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,4.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,5.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,6.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,7.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle",NaN,NaN,8.0125,NaN,NaN,NaN,NaN,,"Trapezium, full circle"
NaN,78,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,81,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,81,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,75,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,78,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,78,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,78,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner",NaN,NaN,78,NaN,NaN,NaN,NaN,,"dF = pi*(ro-ri)*(ro*uo*(1-uo)+ri*ui*(1-ui)) where o=outer, i=inner"
NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,U/Uinf,"Normalized thrust (full circles)"
-15,-45,2.46,NaN,NaN,0,,"",NaN,-15,-45,2.52,NaN,NaN,0,,"",NaN,-15,-45,2.52,NaN,NaN,0,,"",NaN,-15,-45,2.4,NaN,NaN,0,,"",NaN,-15,-45,2.46,NaN,NaN,0,,"",NaN,-15,-45,2.46,NaN,NaN,0,,"",NaN,-15,-45,2.46,NaN,NaN,0,,"",NaN,-15,-45,2.46,NaN,NaN,0,,""
-14.5,-43.5,2.43,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.49,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.49,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.37,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.43,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.43,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.43,NaN,NaN,0,,"",NaN,-14.5,-43.5,2.43,NaN,NaN,0,,""
-14,-42,2.4,NaN,NaN,0,,"",NaN,-14,-42,2.46,NaN,NaN,0,,"",NaN,-14,-42,2.46,NaN,NaN,0,,"",NaN,-14,-42,2.34,NaN,NaN,0,,"",NaN,-14,-42,2.4,NaN,NaN,0,,"",NaN,-14,-42,2.4,NaN,NaN,0,,"",NaN,-14,-42,2.4,NaN,NaN,0,,"",NaN,-14,-42,2.4,NaN,NaN,0,,""
